,username,tweets_num,avg_tweet_len,avg_sentiment,avg_mentions,avg_replies,avg_retweets,avg_likes,avg_hashtags,community
57,mnmcompany,235,97.28085106382979,0.07943262411347518,0.7276595744680852,0.05106382978723404,1207.1702127659576,1.251063829787234,0.2170212765957447,4
58,skryckiadam,315,164.52380952380952,-0.044444444444444446,0.3904761904761905,0.04126984126984127,35.62539682539683,0.8793650793650793,2.4063492063492062,6
59,ksuchanow,86,103.05813953488372,0.0310077519379845,0.4418604651162791,4.651162790697675,14.244186046511627,66.65116279069767,0.06976744186046512,6
60,latidodemimi,22,110.68181818181819,0.09090909090909091,0.8636363636363636,0.09090909090909091,2547.409090909091,0.5909090909090909,0.3181818181818182,0
61,kkwlczk,653,110.34303215926494,0.14838474440312108,0.11485451761102604,0.5421133231240429,231.33384379785605,7.212863705972435,0.055130168453292494,0
62,goldenbasia,42,66.0952380952381,0.07142857142857142,0.5,0.2857142857142857,5906.428571428572,0.38095238095238093,0.4523809523809524,0
63,lucy_alice27,26,101.26923076923077,0.11538461538461539,0.8076923076923077,0.07692307692307693,18623.076923076922,0.38461538461538464,0.38461538461538464,0
64,izabela38007905,437,96.53775743707094,0.04530892448512586,0.32723112128146453,0.37986270022883295,41.411899313501145,5.290617848970252,0.07551487414187644,0
65,gromperuna,776,126.97680412371135,0.024699312714776635,0.9935567010309279,0.23969072164948454,71.99484536082474,2.320876288659794,0.24742268041237114,0
66,marzena101618,85,64.63529411764706,0.2431372549019608,0.18823529411764706,0.36470588235294116,101.54117647058824,1.611764705882353,0.03529411764705882,0
67,margo_1976,2,91.0,0.0,0.5,0.0,0.0,0.0,1.5,0
68,momoka1223ma,137,66.77372262773723,0.10948905109489052,0.072992700729927,0.40145985401459855,98.63503649635037,0.8613138686131386,0.1386861313868613,0
69,jsuska,1438,97.71001390820584,0.04033379694019471,0.7732962447844228,0.027816411682892908,399.91098748261476,0.18011126564673158,0.16828929068150209,0
70,caramel4221,110,104.35454545454546,0.1424242424242424,0.7727272727272727,0.05454545454545454,2103.4,7.6454545454545455,0.16363636363636364,0
71,wi_viento,61,132.68852459016392,0.204527712724434,0.4098360655737705,0.18032786885245902,20.39344262295082,1.0,0.14754098360655737,0
72,kingagoliszews1,3,144.66666666666666,0.3333333333333333,1.0,0.0,37.666666666666664,0.0,1.6666666666666667,0
73,martizlle,1024,106.3134765625,0.09986979166666667,0.9814453125,0.044921875,16989.5224609375,0.5537109375,0.2763671875,0
74,nimijeat,468,84.79700854700855,0.11787749287749288,0.6623931623931624,0.07905982905982906,13466.713675213676,0.27564102564102566,0.4722222222222222,0
75,ofdauther,4,111.5,0.5,0.75,0.0,0.0,0.0,0.75,0
